R533,C002,1,2,4000.0,2025-11-30 12:44:32
R892,C002,1,2,4000.0,2025-11-30 12:46:20
R139,C002,U003,2,4000.0,2025-11-30 13:08:07
R680,C002,U003,2,4000.0,2025-11-30 13:10:58
R170,C001,U002,1,720.0,2025-11-30 13:10:58
R925,C003,U004,3,31500.0,2025-11-30 13:12:29
R748,C003,1,1,10500.0,2025-11-30 15:21:57
R689,C001,3,1,720.0,2025-11-30 15:22:48
R871,C001,1,2,1440.0,2025-12-02 12:10:32
R55,C001,U003,2,1440.0,2025-12-02 12:11:32
R738,C003,ABC,2,21000.0,2025-12-02 12:12:17
R777,C003,COO3,2,21000.0,2025-12-02 16:17:15
R260,C003,3317,4,42000.0,2025-12-03 20:27:07
R935,C001,1,2,1440.0,2025-12-03 20:29:05
